,Date,Low,High,Close,Open
1130,2018-12-19,1.18,1.19,1.18,1.185
1129,2018-12-19,1.1836,1.19,1.185,1.1836
1128,2018-12-19,1.18,1.19,1.185,1.18
1127,2018-12-19,1.18,1.185,1.18,1.185
1126,2018-12-19,1.18,1.1844,1.18,1.1801
1125,2018-12-19,1.18,1.185,1.1801,1.18
1124,2018-12-19,1.1814,1.185,1.1814,1.185
1123,2018-12-19,1.18,1.19,1.1805,1.185
1122,2018-12-19,1.18,1.185,1.18,1.185
1121,2018-12-19,1.18,1.185,1.18,1.181
1120,2018-12-19,1.18,1.1894,1.185,1.18
1119,2018-12-19,1.18,1.19,1.18,1.19
1118,2018-12-19,1.19,1.195,1.19,1.19
1117,2018-12-19,1.19,1.19,1.19,1.19
1116,2018-12-19,1.19,1.2,1.19,1.1904
1115,2018-12-19,1.19,1.19,1.19,1.19
1114,2018-12-19,1.1994,1.1999,1.1999,1.1994
1113,2018-12-19,1.195,1.2,1.195,1.2
1112,2018-12-19,1.1901,1.195,1.195,1.1901
1111,2018-12-19,1.19,1.191,1.19,1.191
1110,2018-12-19,1.1947,1.2,1.195,1.2
1109,2018-12-19,1.2,1.2,1.2,1.2
1108,2018-12-19,1.2,1.2,1.2,1.2
1107,2018-12-19,1.2,1.205,1.2,1.2001
1106,2018-12-19,1.2,1.21,1.2,1.2
1105,2018-12-19,1.205,1.21,1.205,1.21
1104,2018-12-19,1.205,1.21,1.21,1.21
1103,2018-12-19,1.205,1.21,1.2069,1.21
1102,2018-12-19,1.2013,1.205,1.2013,1.205
1101,2018-12-19,1.205,1.21,1.21,1.205
1100,2018-12-19,1.2,1.21,1.205,1.205
1099,2018-12-19,1.2,1.21,1.21,1.21
1098,2018-12-19,1.2,1.205,1.205,1.205
1097,2018-12-19,1.2,1.205,1.2,1.205
1096,2018-12-19,1.2,1.205,1.2,1.205
1095,2018-12-19,1.2,1.205,1.205,1.2
1094,2018-12-19,1.2048,1.205,1.205,1.205
1093,2018-12-19,1.2,1.2084,1.2084,1.2
1092,2018-12-19,1.205,1.205,1.205,1.205
1091,2018-12-19,1.2042,1.21,1.2042,1.205
1090,2018-12-19,1.2034,1.205,1.2034,1.2044
1089,2018-12-19,1.2,1.205,1.205,1.2
1088,2018-12-19,1.2,1.2055,1.2,1.2
1087,2018-12-19,1.205,1.2057,1.205,1.2057
1086,2018-12-19,1.2,1.21,1.2,1.2091
1085,2018-12-19,1.2007,1.21,1.205,1.201
1084,2018-12-19,1.2,1.2088,1.2,1.2
1083,2018-12-19,1.205,1.205,1.205,1.205
1082,2018-12-19,1.2,1.21,1.2007,1.2
1081,2018-12-19,1.2,1.205,1.2,1.2025
1080,2018-12-19,1.2,1.209,1.2013,1.2
1079,2018-12-19,1.2,1.2,1.2,1.2
1078,2018-12-19,1.2,1.205,1.2,1.205
1077,2018-12-19,1.2015,1.205,1.2015,1.205
1076,2018-12-19,1.2,1.205,1.201,1.205
1075,2018-12-19,1.2053,1.2064,1.2064,1.2053
1074,2018-12-19,1.205,1.205,1.205,1.205
1073,2018-12-19,1.205,1.205,1.205,1.205
1072,2018-12-19,1.2,1.205,1.205,1.2
1071,2018-12-19,1.2,1.2,1.2,1.2
1070,2018-12-19,1.2,1.205,1.2,1.205
1069,2018-12-19,1.2,1.2059,1.205,1.205
1068,2018-12-19,1.205,1.205,1.205,1.205
1067,2018-12-19,1.205,1.2055,1.205,1.2055
1066,2018-12-19,1.205,1.2099,1.2063,1.205
1065,2018-12-19,1.2001,1.2052,1.205,1.205
1064,2018-12-19,1.2001,1.205,1.205,1.2001
1063,2018-12-19,1.2001,1.2058,1.205,1.205
1062,2018-12-19,1.2,1.2064,1.2,1.205
1061,2018-12-19,1.205,1.2089,1.205,1.2089
1060,2018-12-19,1.2,1.205,1.205,1.205
1059,2018-12-19,1.205,1.21,1.21,1.205
1058,2018-12-19,1.205,1.21,1.21,1.205
1057,2018-12-19,1.2,1.2094,1.2094,1.2
1056,2018-12-19,1.2,1.205,1.2,1.205
1055,2018-12-19,1.2029,1.205,1.205,1.205
1054,2018-12-19,1.2,1.2199,1.2,1.2199
1053,2018-12-19,1.21,1.22,1.215,1.215
1052,2018-12-18,1.17,1.18,1.17,1.175
1051,2018-12-18,1.17,1.18,1.17,1.175
1050,2018-12-18,1.175,1.178,1.178,1.175
1049,2018-12-18,1.17,1.175,1.175,1.17
1048,2018-12-18,1.17,1.175,1.175,1.175
1047,2018-12-18,1.175,1.1791,1.175,1.175
1046,2018-12-18,1.17,1.1788,1.17,1.17
1045,2018-12-18,1.1701,1.175,1.175,1.1701
1044,2018-12-18,1.171,1.1751,1.1751,1.175
1043,2018-12-18,1.1701,1.175,1.175,1.175
1042,2018-12-18,1.1745,1.1768,1.1768,1.175
1041,2018-12-18,1.1701,1.1769,1.175,1.1769
1040,2018-12-18,1.17,1.18,1.17,1.18
1039,2018-12-18,1.17,1.1752,1.175,1.1752
1038,2018-12-18,1.17,1.175,1.17,1.175
1037,2018-12-18,1.1717,1.18,1.1717,1.175
1036,2018-12-18,1.17,1.18,1.17,1.175
1035,2018-12-18,1.1742,1.1796,1.175,1.175
1034,2018-12-18,1.175,1.18,1.1799,1.1781
1033,2018-12-18,1.175,1.18,1.175,1.18
1032,2018-12-18,1.175,1.1982,1.175,1.195
1031,2018-12-18,1.19,1.2,1.1903,1.1975
1030,2018-12-18,1.19,1.1978,1.19,1.195
1029,2018-12-18,1.19,1.21,1.19,1.21
1028,2018-12-18,1.21,1.215,1.2113,1.2115
1027,2018-12-18,1.21,1.2119,1.2101,1.21
1026,2018-12-18,1.215,1.215,1.215,1.215
1025,2018-12-18,1.215,1.215,1.215,1.215
1024,2018-12-18,1.2136,1.2167,1.2136,1.215
1023,2018-12-18,1.215,1.225,1.215,1.225
1022,2018-12-18,1.22,1.2265,1.2212,1.22
1021,2018-12-18,1.2238,1.225,1.2238,1.225
1020,2018-12-18,1.225,1.23,1.23,1.2299
1019,2018-12-18,1.22,1.23,1.22,1.22
1018,2018-12-18,1.2224,1.2266,1.2224,1.2266
1017,2018-12-18,1.22,1.23,1.225,1.23
1016,2018-12-18,1.23,1.24,1.235,1.23
1015,2018-12-18,1.23,1.235,1.23,1.235
1014,2018-12-18,1.23,1.235,1.235,1.23
1013,2018-12-18,1.225,1.23,1.225,1.23
1012,2018-12-18,1.22,1.228,1.228,1.22
1011,2018-12-18,1.22,1.23,1.23,1.2266
1010,2018-12-18,1.2214,1.23,1.2278,1.225
1009,2018-12-18,1.225,1.2275,1.225,1.225
1008,2018-12-18,1.22,1.225,1.225,1.22
1007,2018-12-18,1.215,1.22,1.215,1.22
1006,2018-12-18,1.21,1.2291,1.2267,1.21
1005,2018-12-18,1.1901,1.2096,1.205,1.2
1004,2018-12-18,1.185,1.2,1.1928,1.195
1003,2018-12-18,1.19,1.2,1.19,1.2
1002,2018-12-18,1.195,1.2053,1.2,1.2
1001,2018-12-18,1.2,1.21,1.2,1.2059
1000,2018-12-18,1.2001,1.205,1.205,1.205
999,2018-12-18,1.2,1.215,1.208,1.21
998,2018-12-18,1.2,1.215,1.205,1.215
997,2018-12-18,1.21,1.215,1.2149,1.21
996,2018-12-18,1.21,1.21,1.21,1.21
995,2018-12-18,1.21,1.22,1.21,1.22
994,2018-12-18,1.22,1.23,1.22,1.23
993,2018-12-18,1.22,1.2364,1.22,1.2364
992,2018-12-18,1.22,1.2391,1.23,1.23
991,2018-12-18,1.25,1.2599,1.25,1.255
990,2018-12-18,1.25,1.26,1.2545,1.26
989,2018-12-18,1.26,1.275,1.26,1.275
988,2018-12-18,1.27,1.2801,1.27,1.2801
987,2018-12-18,1.28,1.2883,1.285,1.2883
986,2018-12-18,1.2823,1.284,1.283,1.2823
985,2018-12-18,1.28,1.2873,1.28,1.2873
984,2018-12-18,1.28,1.29,1.281,1.29
983,2018-12-18,1.29,1.3,1.29,1.3
982,2018-12-18,1.305,1.3099,1.305,1.3099
981,2018-12-18,1.305,1.31,1.3076,1.31
980,2018-12-18,1.31,1.32,1.31,1.32
979,2018-12-18,1.31,1.32,1.31,1.32
978,2018-12-18,1.31,1.315,1.31,1.311
977,2018-12-18,1.31,1.32,1.31,1.32
976,2018-12-18,1.31,1.3299,1.31,1.32
975,2018-12-18,1.3161,1.34,1.3161,1.34
974,2018-12-17,1.3,1.31,1.3,1.31
973,2018-12-17,1.29,1.3,1.3,1.29
972,2018-12-17,1.29,1.3,1.29,1.2902
971,2018-12-17,1.29,1.3,1.295,1.3
970,2018-12-17,1.29,1.3,1.3,1.29
969,2018-12-17,1.29,1.292,1.29,1.29
968,2018-12-17,1.29,1.29,1.29,1.29
967,2018-12-17,1.29,1.2979,1.29,1.29
966,2018-12-17,1.29,1.29,1.29,1.29
965,2018-12-17,1.29,1.3,1.29,1.29
964,2018-12-17,1.29,1.2955,1.29,1.2955
963,2018-12-17,1.29,1.3,1.3,1.29
962,2018-12-17,1.29,1.3,1.2982,1.295
961,2018-12-17,1.29,1.2996,1.2968,1.2996
960,2018-12-17,1.29,1.295,1.29,1.295
959,2018-12-17,1.29,1.3,1.295,1.29
958,2018-12-17,1.29,1.31,1.29,1.31
957,2018-12-17,1.28,1.315,1.31,1.31
956,2018-12-17,1.31,1.32,1.31,1.32
955,2018-12-17,1.32,1.32,1.32,1.32
954,2018-12-17,1.32,1.32,1.32,1.32
953,2018-12-17,1.32,1.325,1.32,1.325
952,2018-12-17,1.32,1.3276,1.3276,1.32
951,2018-12-17,1.32,1.325,1.325,1.325
950,2018-12-17,1.325,1.33,1.33,1.325
949,2018-12-17,1.32,1.3206,1.32,1.3206
948,2018-12-17,1.32,1.345,1.32,1.345
947,2018-12-17,1.34,1.345,1.345,1.34
946,2018-12-17,1.34,1.345,1.34,1.345
945,2018-12-17,1.343,1.3444,1.343,1.3444
944,2018-12-17,1.3412,1.35,1.3412,1.3456
943,2018-12-17,1.3427,1.35,1.35,1.3427
942,2018-12-17,1.34,1.35,1.35,1.34
