,Date,Low,High,Close,Open
1134,2019-01-10,96.18,96.48,96.4,96.21
1133,2019-01-10,96.18,96.25,96.22,96.18
1132,2019-01-10,96.17,96.46,96.21,96.41
1131,2019-01-10,96.285,96.41,96.41,96.31
1130,2019-01-10,96.28,96.4022,96.32,96.3824
1129,2019-01-10,96.35,96.51,96.3928,96.49
1128,2019-01-10,96.42,96.52,96.48,96.49
1127,2019-01-10,96.43,96.5,96.47,96.48
1126,2019-01-10,96.44,96.5,96.46,96.49
1125,2019-01-10,96.31,96.51,96.5,96.33
1124,2019-01-10,96.11,96.36,96.36,96.145
1123,2019-01-10,95.97,96.15,96.15,96.05
1122,2019-01-10,95.95,96.1236,96.1236,95.95
1121,2019-01-10,95.92,96.11,96.02,96.075
1120,2019-01-10,96.03,96.17,96.08,96.17
1119,2019-01-10,96.06,96.26,96.21,96.08
1118,2019-01-10,96.07,96.205,96.11,96.175
1117,2019-01-10,96.18,96.27,96.22,96.23
1116,2019-01-10,96.05,96.23,96.23,96.15
1115,2019-01-10,96.11,96.3,96.13,96.3
1114,2019-01-10,96.125,96.35,96.28,96.15
1113,2019-01-10,96.115,96.255,96.14,96.21
1112,2019-01-10,96.04,96.21,96.21,96.11
1111,2019-01-10,95.94,96.2,96.04,95.94
1110,2019-01-10,95.925,96.08,95.925,95.98
1109,2019-01-10,95.94,96.0,95.95,96.0
1108,2019-01-10,95.97,96.11,95.975,96.085
1107,2019-01-10,95.99,96.1,96.08,96.1
1106,2019-01-10,96.14,96.25,96.14,96.14
1105,2019-01-10,96.09,96.385,96.14,96.385
1104,2019-01-10,96.31,96.39,96.36,96.36
1103,2019-01-10,96.3,96.37,96.37,96.32
1102,2019-01-10,96.345,96.43,96.36,96.345
1101,2019-01-10,96.45,96.52,96.45,96.48
1100,2019-01-10,96.35,96.65,96.42,96.63
1099,2019-01-10,96.6,96.83,96.6,96.81
1098,2019-01-10,96.55,96.75,96.75,96.55
1097,2019-01-10,96.53,96.74,96.53,96.62
1096,2019-01-10,96.48,96.675,96.6,96.48
1095,2019-01-10,96.45,96.57,96.45,96.51
1094,2019-01-10,96.49,96.54,96.5,96.5152
1093,2019-01-10,96.48,96.75,96.54,96.72
1092,2019-01-10,96.5703,96.74,96.74,96.63
1091,2019-01-10,96.43,96.61,96.61,96.58
1090,2019-01-10,96.59,96.68,96.59,96.66
1089,2019-01-10,96.47,96.69,96.68,96.47
1088,2019-01-10,96.46,96.53,96.46,96.48
1087,2019-01-10,96.52,96.61,96.52,96.53
1086,2019-01-10,96.46,96.53,96.53,96.51
1085,2019-01-10,96.31,96.5,96.48,96.47
1084,2019-01-10,96.37,96.53,96.46,96.429
1083,2019-01-10,96.4,96.57,96.41,96.515
1082,2019-01-10,96.39,96.525,96.525,96.45
1081,2019-01-10,96.37,96.47,96.47,96.41
1080,2019-01-10,96.41,96.58,96.41,96.48
1079,2019-01-10,96.47,96.76,96.62,96.47
1078,2019-01-10,96.57,96.88,96.57,96.83
1077,2019-01-10,96.55,96.79,96.79,96.615
1076,2019-01-10,96.44,96.705,96.705,96.646
1075,2019-01-10,96.22,96.67,96.655,96.27
1074,2019-01-10,96.19,96.32,96.27,96.26
1073,2019-01-10,96.32,96.51,96.32,96.39
1072,2019-01-10,96.43,96.71,96.43,96.68
1071,2019-01-10,96.5,96.715,96.715,96.57
1070,2019-01-10,96.55,96.71,96.62,96.5514
1069,2019-01-10,96.54,96.79,96.59,96.775
1068,2019-01-10,96.4107,96.72,96.72,96.4107
1067,2019-01-10,96.3884,96.6,96.42,96.3884
1066,2019-01-10,96.21,96.53,96.35,96.23
1065,2019-01-10,95.99,96.3024,96.15,95.99
1064,2019-01-10,95.83,96.1001,96.01,95.95
1063,2019-01-10,95.94,96.19,95.94,96.07
1062,2019-01-10,95.61,96.13,96.13,95.76
1061,2019-01-10,95.45,95.805,95.73,95.61
1060,2019-01-10,95.35,95.76,95.55,95.73
1059,2019-01-10,95.55,95.98,95.87,95.75
1058,2019-01-10,95.47,95.65,95.63,95.59
1057,2019-01-10,94.85,96.135,95.71,94.85
1056,2019-01-09,97.01,97.27,97.1101,97.01
1055,2019-01-09,96.94,97.23,97.02,97.23
1054,2019-01-09,97.15,97.49,97.226,97.49
1053,2019-01-09,97.46,97.64,97.5,97.6
1052,2019-01-09,97.58,97.75,97.61,97.75
1051,2019-01-09,97.4,97.76,97.74,97.41
1050,2019-01-09,97.4,97.59,97.4,97.585
1049,2019-01-09,97.6,97.71,97.6,97.65
1048,2019-01-09,97.59,97.75,97.63,97.6
1047,2019-01-09,97.49,97.76,97.575,97.66
1046,2019-01-09,97.645,97.86,97.66,97.83
1045,2019-01-09,97.83,98.0,97.83,97.93
1044,2019-01-09,97.935,98.16,97.935,98.16
1043,2019-01-09,98.165,98.355,98.165,98.355
1042,2019-01-09,98.11,98.27,98.24,98.11
1041,2019-01-09,97.95,98.065,98.065,98.005
1040,2019-01-09,97.71,98.03,98.03,97.71
1039,2019-01-09,97.65,98.0188,97.705,98.0
1038,2019-01-09,98.0,98.205,98.0,98.145
1037,2019-01-09,98.03,98.21,98.11,98.19
1036,2019-01-09,98.24,98.5,98.24,98.5
1035,2019-01-09,98.45,98.64,98.463,98.63
1034,2019-01-09,98.53,98.65,98.65,98.6
1033,2019-01-09,98.49,98.63,98.54,98.62
1032,2019-01-09,98.4,98.51,98.44,98.44
1031,2019-01-09,98.44,98.61,98.44,98.61
1030,2019-01-09,98.575,98.61,98.59,98.575
1029,2019-01-09,98.51,98.6,98.6,98.51
1028,2019-01-09,98.48,98.59,98.48,98.56
1027,2019-01-09,98.56,98.69,98.56,98.69
1026,2019-01-09,98.6,98.69,98.65,98.6
1025,2019-01-09,98.6,98.66,98.6,98.66
1024,2019-01-09,98.53,98.77,98.65,98.53
1023,2019-01-09,98.49,98.59,98.49,98.55
1022,2019-01-09,98.57,98.6804,98.58,98.6804
1021,2019-01-09,98.64,98.725,98.72,98.68
1020,2019-01-09,98.69,98.86,98.69,98.84
1019,2019-01-09,98.8,98.8828,98.88,98.81
1018,2019-01-09,98.735,98.83,98.8,98.74
1017,2019-01-09,98.67,98.78,98.69,98.76
1016,2019-01-09,98.78,98.91,98.78,98.91
1015,2019-01-09,98.84,98.91,98.88,98.84
1014,2019-01-09,98.75,98.88,98.8,98.88
1013,2019-01-09,98.41,98.89,98.86,98.5
1012,2019-01-09,98.4185,98.6,98.515,98.4185
1011,2019-01-09,98.27,98.59,98.33,98.59
1010,2019-01-09,98.51,98.68,98.58,98.68
1009,2019-01-09,98.68,98.93,98.68,98.93
1008,2019-01-09,98.87,99.1,98.88,99.1
1007,2019-01-09,99.04,99.2,99.13,99.04
1006,2019-01-09,98.81,99.07,99.03,99.07
1005,2019-01-09,99.0,99.17,99.0,99.17
1004,2019-01-09,99.11,99.23,99.18,99.23
1003,2019-01-09,99.25,99.345,99.27,99.345
1002,2019-01-09,99.385,99.51,99.385,99.41
1001,2019-01-09,99.25,99.4052,99.4052,99.36
1000,2019-01-09,99.29,99.41,99.34,99.41
999,2019-01-09,99.41,99.5,99.41,99.47
998,2019-01-09,99.42,99.5,99.47,99.44
997,2019-01-09,99.26,99.59,99.53,99.26
996,2019-01-09,99.19,99.33,99.19,99.23
995,2019-01-09,98.94,99.14,99.14,99.04
994,2019-01-09,98.88,99.07,99.07,98.95
993,2019-01-09,99.03,99.37,99.03,99.37
992,2019-01-09,99.48,99.6,99.48,99.55
991,2019-01-09,99.48,99.69,99.56,99.69
990,2019-01-09,99.46,99.665,99.665,99.55
989,2019-01-09,99.4398,99.62,99.61,99.56
988,2019-01-09,99.4,99.5662,99.51,99.4
987,2019-01-09,99.31,99.535,99.44,99.31
986,2019-01-09,99.02,99.32,99.26,99.2187
985,2019-01-09,98.8,99.0,98.98,98.83
984,2019-01-09,98.72,98.815,98.81,98.785
983,2019-01-09,98.54,98.8555,98.54,98.8555
982,2019-01-09,98.295,98.63,98.63,98.295
981,2019-01-09,98.22,98.3667,98.305,98.22
980,2019-01-09,98.31,98.88,98.31,98.88
979,2019-01-09,98.66,99.23,98.99,98.66
978,2019-01-08,98.57,98.78,98.59,98.77
977,2019-01-08,98.64,98.77,98.77,98.66
